Package Name,Description, Dependencies, Category, URL, How to install
pidgin.fireeye,Creates a Pidgin Shortcut in the Utilities folder, common.fireeye - https://chocolatey.org/packages//pidgin, Utilities, http://pidgin.im/, cinst -y pidgin.fireeye
pmalabs.flare,The labs for Practical Malware Analysis -- useful for learning reverse engineering and malware analysis, , Utilities, https://github.com/mikesiko/PracticalMalwareAnalysis-Labs, cinst -y pmalabs.flare
PowerLessShell.fireeye,Run PowerShell command without invoking powershell.exe, common.fireeye - https://chocolatey.org/packages//python2, Evasion,https://github.com/Mr-Un1k0d3r/PowerLessShell, cinst -y PowerLessShell.fireeye
PowerLurk.fireeye,Malicious WMI Events using PowerShell, , Exploitation,https://github.com/Sw4mpf0x/PowerLurk, cinst -y PowerLurk.fireeye
PowerPriv.fireeye,A Powershell implementation of PrivExchange designed to run under the current user's context, , Exploitation,https://github.com/G0ldenGunSec/PowerPriv, cinst -y PowerPriv.fireeye
PowerShdll.fireeye,Run PowerShell with rundll32. Bypass software restrictions., , Evasion,https://github.com/p3nt4/PowerShdll, cinst -y PowerShdll.fireeye
PowerShell-Suite.fireeye,PowerShell-Suite from FuzzySec, , Exploitation,https://github.com/FuzzySecurity/PowerShell-Suite, cinst -y PowerShell-Suite.fireeye
PowerSploit.fireeye,A PowerShell Post-Exploitation Framework, , Exploitation,https://github.com/PowerShellMafia/PowerSploit, cinst -y PowerSploit.fireeye
PowerUpSQL.fireeye,A PowerShell Toolkit for Attacking SQL Server, , Exploitation,https://github.com/NetSPI/PowerUpSQL, cinst -y PowerUpSQL.fireeye
PowerView.fireeye,Installs the dev branch version of PowerView, common.fireeye - PowerSploit.fireeye, Information Gathering,https://github.com/PowerShellMafia/PowerSploit/tree/master/Recon, cinst -y PowerView.fireeye
ppee.fireeye,A PE file explorer for reverser and malware analyst, common.fireeye - https://chocolatey.org/packages//vcredist2010, Utilities, https://www.mzrst.com/, cinst -y ppee.fireeye
PrivExchange.fireeye,Exchange your privileges for Domain Admin privs by abusing Exchange, common.fireeye - https://chocolatey.org/packages//python2 - impacket.fireeye, Exploitation\PrivExchange,https://github.com/dirkjanm/PrivExchange, cinst -y PrivExchange.fireeye
Probable-Wordlists.fireeye,Wordlists sorted by probability originally created for password generation and testing, , Wordlists,https://github.com/berzerk0/Probable-Wordlists, cinst -y Probable-Wordlists.fireeye
processdump.fireeye,Dump a running process, common.fireeye - https://chocolatey.org/packages//vcredist2015, Utilities, https://github.com/glmcdona/Process-Dump, cinst -y processdump.fireeye
processhacker.flare,A multi-purpose tool to monitor all running process and system resources, common.fireeye - https://chocolatey.org/packages//processhacker, Utilities, http://processhacker.sourceforge.net/, cinst -y processhacker.flare
proxycap.fireeye,ProxyCap enables you to redirect your computer's network connections through proxy servers., , Networking, http://www.proxycap.com/, cinst -y proxycap.fireeye
PSAmsi.fireeye,PSAmsi is a tool for auditing and defeating AMSI signatures., , Evasion,https://github.com/cobbr/PSAmsi, cinst -y PSAmsi.fireeye
PSAttack.fireeye,A portable console aimed at making pentesting with PowerShell a little easier., , Evasion,https://github.com/jaredhaight/PSAttack, cinst -y PSAttack.fireeye
PSReflect.fireeye,"Easily define in-memory enums, structs, and Win32 functions in PowerShell", , Exploitation,https://github.com/mattifestation/PSReflect, cinst -y PSReflect.fireeye
putty.fireeye,Creates a PUTTY shortcut in the Networking Tools folder, common.fireeye - https://chocolatey.org/packages//putty.portable, Networking, http://www.chiark.greenend.org.uk/~sgtatham/putty/, cinst -y putty.fireeye
PwnedPasswordsNTLM.fireeye,Quick binary search for NTLM hash dataset, , Vulnerability Analysis,https://github.com/JacksonVD/PwnedPasswordsNTLM, cinst -y PwnedPasswordsNTLM.fireeye
py2exedecompiler.flare,py2exe decompiler, , Python, https://github.com/endgameinc/Py2ExeDecompiler, cinst -y py2exedecompiler.flare
python2.x86.nopath.flare,, , Utilities, http://www.python.org/, cinst -y python2.x86.nopath.flare
radare2.flare,A complete framework for reverse engineering and binary analysis, , Disassemblers, http://www.radare.org/r/, cinst -y radare2.flare
RedTeamPowershellScripts.fireeye,Various PowerShell scripts from Mr-Un1k0d3r, , Exploitation,https://github.com/Mr-Un1k0d3r/RedTeamPowershellScripts, cinst -y RedTeamPowershellScripts.fireeye
regshot.flare,Open source registry compare utility, , Utilities, https://sourceforge.net/projects/regshot/, cinst -y regshot.flare
resourcehacker.flare,Utility to extract and modify embeded resources in PE files, common.fireeye - https://chocolatey.org/packages//reshack.portable, Utilities, http://www.angusj.com/resourcehacker/, cinst -y resourcehacker.flare
RetDec.flare,A decompiler based on LLVM, , Decompilers, https://retdec.com/, cinst -y RetDec.flare
RiskySPN.fireeye,Detect and abuse risky SPNs, , Password Attacks,https://github.com/cyberark/RiskySPN, cinst -y RiskySPN.fireeye
RobotsDisallowed.fireeye,A curated list of the most common and most interesting robots.txt disallowed directories., , Wordlists,https://github.com/danielmiessler/RobotsDisallowed, cinst -y RobotsDisallowed.fireeye
RottenPotatoNG.fireeye,New version of RottenPotato as a C++ DLL and standalone C++ binary - no need for meterpreter or other tools., , Exploitation,https://github.com/breenmachine/RottenPotatoNG, cinst -y RottenPotatoNG.fireeye
rsat.fireeye,Creates a shortcut to RSAT in the Active Directory Tools folder, common.fireeye - https://chocolatey.org/packages//rsat, Active Directory, https://support.microsoft.com/en-us/help/2693643/remote-server-administration-tools-rsat-for-windows-operating-systems, cinst -y rsat.fireeye
Rubeus.fireeye,Rubeus is a C# toolset for raw Kerberos interaction and abuses., , Exploitation\GhostPack,https://github.com/GhostPack/Rubeus, cinst -y Rubeus.fireeye
ruler.fireeye,A tool to abuse exchange services, , Exploitation,https://github.com/sensepost/ruler, cinst -y ruler.fireeye
SafetyKatz.fireeye,SafetyKatz is a combination of slightly modified version ofÊ@gentilkiwi's Mimikatz project andÊ@subTee's .NET PE Loader, , Exploitation\GhostPack,https://github.com/GhostPack/SafetyKatz, cinst -y SafetyKatz.fireeye
scdbg.flare,Shellcode debugger, , Debuggers, http://sandsprite.com/CodeStuff/scdbg_manual/MANUAL_EN.html, cinst -y scdbg.flare
ScreenToGif.fireeye,Creates a ScreenToGif shortcut in the Utilities folder, common.fireeye - https://chocolatey.org/packages//screentogif, Utilities,https://www.screentogif.com, cinst -y ScreenToGif.fireeye
Seatbelt.fireeye,Seatbelt is a C# project that performs a number of security oriented host-survey safety checks relevant from both offensive and defensive security perspectives., , Exploitation\GhostPack,https://github.com/GhostPack/Seatbelt, cinst -y Seatbelt.fireeye
SecLists.fireeye,"SecLists is the security testers companion. It's a collection of multiple types of lists used during security assessments, collected in one place.", , Wordlists,https://github.com/danielmiessler/SecLists, cinst -y SecLists.fireeye
SessionGopher.fireeye,SessionGopher is a PowerShell tool that uses WMI to extract saved session information for remote access tools such as WinSCP PuTTY SuperPuTTY FileZilla and Microsoft Remote Desktop. It can be run remotely or locally., , Password Attacks,https://github.com/Arvanaghi/SessionGopher, cinst -y SessionGopher.fireeye
Sharp-Suite.fireeye,Various C# tools from FuzzySec, , Exploitation,https://github.com/FuzzySecurity/Sharp-Suite, cinst -y Sharp-Suite.fireeye
SharpClipHistory.fireeye,SharpClipHistory is a .NET application written in C# that can be used to read the contents of a user's clipboard history in Windows 10 starting from the 1809 Build., , Exploitation,https://github.com/mwrlabs/SharpClipHistory, cinst -y SharpClipHistory.fireeye
SharpDPAPI.fireeye,SharpDPAPI is a C# port of some Mimikatz DPAPI functionality., , Exploitation\GhostPack,https://github.com/GhostPack/SharpDPAPI, cinst -y SharpDPAPI.fireeye
SharpDump.fireeye,SharpDump is a C# port of PowerSploit's Out-Minidump.ps1 functionality., , Exploitation\GhostPack,https://github.com/GhostPack/SharpDump, cinst -y SharpDump.fireeye
SharpExchangePriv.fireeye,A C# implementation of PrivExchange by @_dirkjan., , Exploitation,https://github.com/panagioto/SharpExchangePriv, cinst -y SharpExchangePriv.fireeye
SharpExec.fireeye,SharpExec is an offensive security C# tool designed to aid with lateral movement., , Exploitation,https://github.com/anthemtotheego/SharpExec, cinst -y SharpExec.fireeye
SharpHound.fireeye,C# Rewrite of the BloodHound Ingestor, , Information Gathering,https://github.com/BloodHoundAD/SharpHound, cinst -y SharpHound.fireeye
SharpRoast.fireeye,SharpRoast is a C# port of various PowerView's Kerberoasting functionality., , Exploitation\GhostPack,https://github.com/GhostPack/SharpRoast, cinst -y SharpRoast.fireeye
SharpSploit.fireeye,SharpSploit is a .NET post-exploitation library written in C#, , Exploitation, https://github.com/cobbr/SharpSploit, cinst -y SharpSploit.fireeye
SharpUp.fireeye,SharpUp is a C# port of various PowerUp functionality., , Exploitation\GhostPack,https://github.com/GhostPack/SharpUp, cinst -y SharpUp.fireeye
SharpView.fireeye,C# implementation of harmj0y's PowerView, , Information Gathering,https://github.com/tevora-threat/SharpView, cinst -y SharpView.fireeye
SharpWMI.fireeye,SharpWMI is a C# implementation of various WMI functionality., , Exploitation\GhostPack,https://github.com/GhostPack/SharpWMI, cinst -y SharpWMI.fireeye
shellcode_launcher.flare,Shellcode launcher, , Utilities, https://github.com/clinicallyinane/shellcode_launcher/, cinst -y shellcode_launcher.flare
SilkETW.fireeye,A C# wrapper for ETW, , Utilities, https://github.com/fireeye/SilkETW, cinst -y SilkETW.fireeye
spiderfoot.docker.fireeye,An OSInt automation tool, common.fireeye - docker.fireeye, Docker, https://github.com/smicallef/spiderfoot, cinst -y spiderfoot.docker.fireeye
SpoolerScanner.fireeye,Check if MS-RPRN is remotely available with powershell/c#, , Information Gathering,https://github.com/vletoux/SpoolerScanner, cinst -y SpoolerScanner.fireeye
SpoolSample.fireeye,PoC tool to coerce Windows hosts authenticate to other machines via the MS-RPRN RPC interface. This is possible via other protocols as well., , Exploitation,https://github.com/leechristensen/SpoolSample, cinst -y SpoolSample.fireeye
spystudio.flare,API call monitor, common.fireeye - https://chocolatey.org/packages//spystudio, Utilities, http://www.nektra.com/products/spystudio-api-monitor/, cinst -y spystudio.flare
sqlitebrowser.fireeye,Creates a DB Browser for SQLite shortcut in the Utilities folder, common.fireeye - https://chocolatey.org/packages//sqlitebrowser, Utilities, http://sqlitebrowser.org/, cinst -y sqlitebrowser.fireeye
sqlserver-cmdlineutils.fireeye,Creates a shortcut for sqlcmd in the Active Directory Tools folder, common.fireeye - https://chocolatey.org/packages//sqlserver-cmdlineutils, Active Directory, https://www.microsoft.com/en-us/download/details.aspx?id=53591, cinst -y sqlserver-cmdlineutils.fireeye
StarFighters.fireeye,A JavaScript and VBScript Based Empire Launcher which runs within their own embedded PowerShell Host., , Evasion,https://github.com/Cn33liz/StarFighters, cinst -y StarFighters.fireeye
subdomain-bruteforce.fireeye,a subdomain brute forcing tool for windows, , Information Gathering,https://github.com/visualbasic6/subdomain-bruteforce, cinst -y subdomain-bruteforce.fireeye
SublimeText3.fireeye,Creates a Sublime Text 3 shortcut in the Utilities folder and pins Sublime Text to the taskbar, common.fireeye - https://chocolatey.org/packages//sublimetext3, Utilities, http://www.sublimetext.com/3, cinst -y SublimeText3.fireeye
SysAnalyzer.flare,Process monitoring tool, , Utilities, http://sandsprite.com/iDef/SysAnalyzer/, cinst -y SysAnalyzer.flare
sysinternals.fireeye,Creates a shortcut for all Sysinternals tools in the Active Directory Tools folder, common.fireeye - https://chocolatey.org/packages//sysinternals, Active Directory, http://technet.microsoft.com/en-us/sysinternals/bb842062, cinst -y sysinternals.fireeye
sysinternals.flare,Creates a shortcut for all Sysinternals tools in the Active Directory Tools folder, common.fireeye - https://chocolatey.org/packages//sysinternals, Utilities, http://technet.microsoft.com/en-us/sysinternals/bb842062, cinst -y sysinternals.flare
telnet.fireeye,Creates a Telnet shortcut in the Networking Tools directory, common.fireeye - https://chocolatey.org/packages//telnet, Networking, https://technet.microsoft.com/en-us/library/bb491013.aspx, cinst -y telnet.fireeye
thunderbird.fireeye,Creates a shortcut for Mozilla Thunderbird in the Utilities folder, common.fireeye - https://chocolatey.org/packages//chocolatey-core.extension - https://chocolatey.org/packages//thunderbird, Utilities, https://www.mozilla.org/en/thunderbird/, cinst -y thunderbird.fireeye
TrustVisualizer.fireeye,Python script that takes new output from Get-DomainTrustMapping .csvs and outputs graphml. Based on DomainTrustExplorer., common.fireeye - https://chocolatey.org/packages//python3 - https://chocolatey.org/packages//python2 - libraries.python2.fireeye, Utilities,https://github.com/HarmJ0y/TrustVisualizer, cinst -y TrustVisualizer.fireeye
UACME.fireeye,Defeating Windows User Account Control by abusing built-in Windows AutoElevate backdoor., , Exploitation,https://github.com/hfiref0x/UACME, cinst -y UACME.fireeye
uniextract2.fireeye,A universal file extractor, , Utilities, https://github.com/Bioruebe/UniExtract2, cinst -y uniextract2.fireeye
vbdecompiler.flare,Visual Basic decompiler, , VB, http://www.mcafee.com/us/downloads/free-tools/fileinsight.aspx, cinst -y vbdecompiler.flare
vcbuildtools.fireeye,Visual Studio build tools, common.fireeye - https://chocolatey.org/packages//vcbuildtools, Developer, http://landinghub.visualstudio.com/visual-cpp-build-tools, cinst -y vcbuildtools.fireeye
vcredist-all.flare,Visual Studio redistributable libraries, , Utilities, https://support.microsoft.com/en-us/kb/2977003, cinst -y vcredist-all.flare
vim.flare,The VI improved text editor, common.fireeye - https://chocolatey.org/packages//autohotkey.portable, Text, https://www.vim.org/, cinst -y vim.flare
vlc.fireeye,Creates a shortcut for VLC Media Player in the Utilities folder, common.fireeye - https://chocolatey.org/packages//vlc, Utilities, http://www.videolan.org/vlc/, cinst -y vlc.fireeye
vmware-horizon-client.fireeye,Creates a shortcut for VMware Horizon Client in the Networking Tools folder, common.fireeye - https://chocolatey.org/packages//vmware-horizon-client, Networking, http://www.vmware.com/products/horizon-view, cinst -y vmware-horizon-client.fireeye
vmwarevsphereclient.fireeye,Creates a shortcut for VMware vSphere client in the Networking Tools folder, common.fireeye - https://chocolatey.org/packages//vmwarevsphereclient, Networking, https://www.vmware.com/products/vsphere/, cinst -y vmwarevsphereclient.fireeye
vnc-viewer.fireeye,Creates a shortcut for VNC Viewer in the Networking Tools folder, common.fireeye - https://chocolatey.org/packages//vnc-viewer, Networking, https://www.realvnc.com/products/vnc/, cinst -y vnc-viewer.fireeye
volatility.flare,A memory forensic framework, , Forensic, https://www.volatilityfoundation.org/about, cinst -y volatility.flare
vscode.fireeye,Creates a shortcut for VS Code in the Developer Tools folder and pins VS Code to the taskbar, common.fireeye - https://chocolatey.org/packages//vscode, Developer, https://code.visualstudio.com, cinst -y vscode.fireeye
vssown.fireeye,Volume Shadow Copy utility, , Exploitation,https://github.com/reider-roque/pentest-tools/blob/master/password-cracking/vssown.vbs, cinst -y vssown.fireeye
vulcan.fireeye,a tool to make it easy and fast to test various forms of injection, , Exploitation,https://github.com/praetorian-code/vulcan, cinst -y vulcan.fireeye
Watson.fireeye,Enumerate missing KBs and suggest exploits for useful Privilege Escalation vulnerabilities, , Information Gathering,https://github.com/rasta-mouse/Watson, cinst -y Watson.fireeye
wfuzz.fireeye,Web application fuzzer, common.fireeye - https://chocolatey.org/packages//python2 - libraries.python2.fireeye, Web Application,https://github.com/xmendez/wfuzz, cinst -y wfuzz.fireeye
windbg.fireeye,The Windows Debugger, , Debuggers, http://msdn.microsoft.com/en-us/windows/hardware/hh852365.aspx, cinst -y windbg.fireeye
windbg.flare,The Windows Debugger, , Debuggers, http://msdn.microsoft.com/en-us/windows/hardware/hh852365.aspx, cinst -y windbg.flare
windbg.kenstheme.flare,A theme for winddbg, common.fireeye - windbg.flare, Utilities, http://msdn.microsoft.com/en-us/windows/hardware/hh852365.aspx, cinst -y windbg.kenstheme.flare
windbg.ollydumpex.flare,OllyDumpEx plugin for Windbg, common.fireeye - windbg.flare, Utilities, https://low-priority.appspot.com/ollydumpex/, cinst -y windbg.ollydumpex.flare
windbg.pykd.flare,PyKD plugin for Windbg, common.fireeye - windbg.flare, Utilities, https://pykd.codeplex.com, cinst -y windbg.pykd.flare
windump.fireeye,WinDump is the Windows version of tcpdump, common.fireeye - https://chocolatey.org/packages//winpcap, Networking, http://www.winpcap.org/windump/, cinst -y windump.fireeye
winscp.fireeye,Creates a shortcut for WinSCP in the Networking Tools folder, common.fireeye - https://chocolatey.org/packages//winscp, Networking, https://winscp.net/, cinst -y winscp.fireeye
wireshark.fireeye,Creates a shortcut for Wireshark in the Networking Tools folder, common.fireeye - https://chocolatey.org/packages//wireshark, Networking, http://www.wireshark.org, cinst -y wireshark.fireeye
wireshark.flare,Creates a shortcut for Wireshark in the Networking Tools folder, common.fireeye - https://chocolatey.org/packages//wireshark, Net, http://www.wireshark.org, cinst -y wireshark.flare
WMImplant.fireeye,WMImplant is a PowerShell based tool that leverages WMI to both perform actions against targeted machines but also as the C2 channel for issuing commands and receiving results., , Command and Control,https://github.com/FortyNorthSecurity/WMImplant, cinst -y WMImplant.fireeye
WMIOps.fireeye,WMIOps is a powershell script that uses WMI to perform a variety of actions on hosts local or remote within a Windows environment., , Command and Control,https://github.com/FortyNorthSecurity/WMIOps, cinst -y WMIOps.fireeye
x64dbg.fireeye,An open-source x64/x32 debugger for windows., common.fireeye - common.fireeye, Debuggers, http://x64dbg.com, cinst -y x64dbg.fireeye
x64dbg.flare,An open-source x64/x32 debugger for windows., , Debuggers, http://x64dbg.com, cinst -y x64dbg.flare
x64dbg.ollydumpex.fireeye,OllyDumpEx plugin for x64dbg, common.fireeye - x64dbg.flare, Utilities, https://low-priority.appspot.com/ollydumpex/, cinst -y x64dbg.ollydumpex.fireeye
x64dbg.py.flare,Python support for x64dbg, common.fireeye - x64dbg.flare, Utilities, https://github.com/x64dbg/x64dbgpy, cinst -y x64dbg.py.flare
xorsearch.flare,Search for an encoded string in a file, , Utilities, https://didierstevens.com/, cinst -y xorsearch.flare
xorstrings.flare,Encoded strings bruteforce and dump, , Utilities, https://didierstevens.com/, cinst -y xorstrings.flare
yara.flare,A pattern matching swiss army knife, , Utilities, http://virustotal.github.io/yara/, cinst -y yara.flare
yed.fireeye,Creates a shortcut for yEd in the Utilities folder, common.fireeye - https://chocolatey.org/packages//yed, Utilities, http://www.yworks.com/en/products/yfiles/yed, cinst -y yed.fireeye
zap.fireeye,Creates a shortcut for Zap in the Web Application folder, common.fireeye - https://chocolatey.org/packages//zap, Web Application, https://www.owasp.org/index.php/OWASP_Zed_Attack_Proxy_Project, cinst -y zap.fireeye
zBang.fireeye,zBang is a risk assessment tool that detects potential privileged account threats, , Vulnerability,https://github.com/cyberark/zBang, cinst -y zBang.fireeye
